Iterations,Accuracy
1235,0.666667
1236,0.539683
1237,0.650794
1238,0.666667
1239,0.539683
1240,0.68254
1241,0.539683
1242,0.539683
1243,0.539683
1244,0.539683
1245,0.666667
1246,0.539683
1247,0.68254
1248,0.539683
1249,0.555556
1250,0.539683
1251,0.650794
1252,0.698413
1253,0.666667
1254,0.555556
1255,0.555556
1256,0.52381
1257,0.555556
1258,0.555556
1259,0.555556
1260,0.555556
1261,0.539683
1262,0.539683
1263,0.539683
1264,0.555556
1265,0.539683
1266,0.619048
1267,0.539683
1268,0.650794
1269,0.698413
1270,0.539683
1271,0.52381
1272,0.539683
1273,0.539683
1274,0.539683
1275,0.539683
1276,0.555556
1277,0.52381
1278,0.539683
1279,0.539683
1280,0.539683
1281,0.539683
1282,0.539683
1283,0.539683
1284,0.666667
1285,0.650794
1286,0.650794
1287,0.666667
1288,0.539683
1289,0.539683
1290,0.539683
1291,0.539683
1292,0.539683
1293,0.650794
1294,0.555556
1295,0.666667
1296,0.555556
1297,0.555556
1298,0.539683
1299,0.539683
1300,0.539683
1301,0.539683
1302,0.539683
1303,0.539683
1304,0.539683
1305,0.555556
1306,0.555556
1307,0.555556
1308,0.539683
1309,0.666667
1310,0.539683
1311,0.650794
1312,0.539683
1313,0.666667
1314,0.650794
1315,0.539683
1316,0.539683
1317,0.539683
1318,0.666667
1319,0.539683
1320,0.539683
1321,0.650794
1322,0.539683
1323,0.650794
1324,0.539683
1325,0.539683
1326,0.650794
1327,0.539683
1328,0.539683
1329,0.539683
1330,0.539683
1331,0.68254
1332,0.539683
1333,0.650794
1334,0.539683
1335,0.539683
1336,0.555556
1337,0.650794
1338,0.539683
1339,0.539683
1340,0.603175
1341,0.539683
1342,0.539683
1343,0.68254
1344,0.539683
1345,0.539683
1346,0.68254
1347,0.539683
1348,0.539683
1349,0.650794
1350,0.650794
1351,0.539683
1352,0.539683
1353,0.539683
1354,0.666667
1355,0.539683
1356,0.650794
1357,0.539683
1358,0.714286
1359,0.650794
1360,0.539683
1361,0.539683
1362,0.539683
1363,0.650794
1364,0.539683
1365,0.539683
1366,0.650794
1367,0.666667
1368,0.539683
1369,0.539683
1370,0.539683
1371,0.539683
1372,0.539683
1373,0.539683
1374,0.539683
1375,0.539683
1376,0.539683
1377,0.539683
1378,0.539683
1379,0.587302
1380,0.539683
1381,0.539683
1382,0.539683
1383,0.539683
1384,0.539683
1385,0.539683
1386,0.539683
1387,0.539683
1388,0.539683
1389,0.539683
1390,0.539683
1391,0.555556
1392,0.666667
1393,0.539683
1394,0.539683
1395,0.539683
1396,0.539683
1397,0.587302
1398,0.52381
1399,0.650794
1400,0.714286
1401,0.539683
1402,0.666667
1403,0.698413
1404,0.539683
1405,0.539683
1406,0.539683
1407,0.650794
1408,0.650794
1409,0.539683
1410,0.539683
1411,0.587302
1412,0.539683
1413,0.539683
1414,0.539683
1415,0.539683
1416,0.539683
1417,0.539683
1418,0.539683
1419,0.650794
1420,0.539683
1421,0.68254
1422,0.619048
1423,0.539683
1424,0.650794
1425,0.539683
1426,0.539683
1427,0.650794
1428,0.666667
1429,0.666667
1430,0.539683
1431,0.666667
1432,0.539683
1433,0.539683
1434,0.539683
1435,0.539683
1436,0.698413
1437,0.539683
1438,0.698413
1439,0.539683
1440,0.539683
1441,0.698413
1442,0.539683
1443,0.539683
1444,0.666667
1445,0.539683
1446,0.52381
1447,0.555556
1448,0.666667
1449,0.666667
1450,0.539683
1451,0.650794
1452,0.539683
1453,0.539683
1454,0.650794
1455,0.539683
1456,0.539683
1457,0.539683
1458,0.539683
1459,0.52381
1460,0.619048
1461,0.539683
1462,0.539683
1463,0.650794
1464,0.539683
1465,0.539683
1466,0.539683
1467,0.539683
1468,0.52381
1469,0.539683
1470,0.539683
1471,0.52381
1472,0.666667
1473,0.539683
1474,0.539683
1475,0.539683
1476,0.539683
1477,0.539683
1478,0.539683
1479,0.539683
1480,0.666667
1481,0.539683
1482,0.539683
1483,0.52381
1484,0.539683
1485,0.666667
1486,0.539683
1487,0.539683
1488,0.539683
1489,0.539683
1490,0.539683
1491,0.650794
1492,0.539683
1493,0.666667
1494,0.539683
1495,0.619048
1496,0.539683
1497,0.650794
1498,0.539683
1499,0.539683
1500,0.650794
1501,0.68254
1502,0.650794
1503,0.539683
1504,0.650794
1505,0.539683
1506,0.666667
1507,0.650794
1508,0.52381
1509,0.539683
1510,0.539683
1511,0.650794
1512,0.539683
1513,0.539683
1514,0.539683
1515,0.650794
1516,0.539683
1517,0.650794
1518,0.666667
1519,0.650794
1520,0.619048
1521,0.539683
1522,0.650794
1523,0.539683
1524,0.539683
1525,0.539683
1526,0.539683
1527,0.52381
1528,0.539683
1529,0.539683
1530,0.539683
1531,0.52381
1532,0.539683
1533,0.650794
1534,0.539683
1535,0.539683
1536,0.539683
1537,0.539683
1538,0.650794
1539,0.666667
1540,0.539683
1541,0.539683
1542,0.52381
1543,0.539683
1544,0.539683
1545,0.52381
1546,0.52381
1547,0.587302
1548,0.539683
1549,0.650794
1550,0.539683
1551,0.539683
1552,0.539683
1553,0.52381
1554,0.666667
1555,0.539683
1556,0.539683
1557,0.539683
1558,0.539683
1559,0.52381
1560,0.650794
1561,0.650794
1562,0.539683
1563,0.666667
1564,0.539683
1565,0.52381
1566,0.539683
1567,0.634921
1568,0.68254
1569,0.698413
1570,0.539683
1571,0.507937
1572,0.539683
1573,0.634921
1574,0.539683
1575,0.52381
1576,0.539683
1577,0.539683
1578,0.650794
1579,0.666667
1580,0.666667
1581,0.52381
1582,0.666667
1583,0.539683
1584,0.539683
1585,0.539683
1586,0.650794
1587,0.539683
1588,0.52381
1589,0.650794
1590,0.619048
1591,0.539683
1592,0.539683
1593,0.650794
1594,0.650794
1595,0.539683
1596,0.650794
1597,0.539683
1598,0.539683
1599,0.539683
1600,0.698413
1601,0.650794
1602,0.539683
1603,0.539683
1604,0.650794
1605,0.666667
1606,0.650794
1607,0.68254
1608,0.539683
1609,0.68254
1610,0.52381
1611,0.539683
1612,0.539683
1613,0.68254
1614,0.539683
1615,0.52381
1616,0.539683
1617,0.603175
1618,0.634921
1619,0.698413
1620,0.539683
1621,0.666667
1622,0.52381
1623,0.539683
1624,0.52381
1625,0.52381
1626,0.539683
1627,0.650794
1628,0.539683
1629,0.539683
1630,0.698413
1631,0.52381
1632,0.52381
1633,0.539683
1634,0.52381
1635,0.52381
1636,0.539683
1637,0.650794
1638,0.507937
1639,0.539683
1640,0.650794
1641,0.539683
1642,0.539683
1643,0.68254
1644,0.539683
1645,0.539683
1646,0.666667
1647,0.52381
1648,0.619048
1649,0.539683
1650,0.52381
1651,0.539683
1652,0.603175
1653,0.666667
1654,0.52381
1655,0.539683
1656,0.52381
1657,0.52381
1658,0.539683
1659,0.539683
1660,0.68254
1661,0.68254
1662,0.666667
1663,0.539683
1664,0.539683
1665,0.52381
1666,0.634921
1667,0.52381
1668,0.52381
1669,0.650794
1670,0.539683
1671,0.666667
1672,0.666667
1673,0.539683
1674,0.650794
1675,0.52381
1676,0.650794
1677,0.492063
1678,0.650794
1679,0.539683
1680,0.650794
1681,0.52381
1682,0.650794
1683,0.539683
1684,0.52381
1685,0.539683
1686,0.52381
1687,0.52381
1688,0.539683
1689,0.68254
1690,0.507937
1691,0.619048
1692,0.52381
1693,0.650794
1694,0.507937
1695,0.52381
1696,0.603175
1697,0.539683
1698,0.539683
1699,0.52381
1700,0.650794
1701,0.650794
1702,0.507937
1703,0.539683
1704,0.52381
1705,0.68254
1706,0.650794
1707,0.539683
1708,0.507937
1709,0.539683
1710,0.619048
1711,0.507937
1712,0.539683
1713,0.619048
1714,0.507937
1715,0.52381
1716,0.507937
1717,0.52381
1718,0.666667
1719,0.507937
1720,0.507937
1721,0.507937
1722,0.650794
1723,0.507937
1724,0.634921
1725,0.52381
1726,0.634921
1727,0.68254
1728,0.507937
1729,0.507937
1730,0.507937
1731,0.52381
1732,0.507937
1733,0.507937
1734,0.52381
1735,0.587302
1736,0.603175
1737,0.52381
1738,0.507937
1739,0.634921
1740,0.52381
1741,0.52381
1742,0.619048
1743,0.634921
1744,0.619048
1745,0.507937
1746,0.507937
1747,0.52381
1748,0.52381
1749,0.634921
1750,0.52381
1751,0.52381
1752,0.650794
1753,0.666667
1754,0.68254
1755,0.52381
1756,0.507937
1757,0.52381
1758,0.507937
1759,0.507937
1760,0.507937
1761,0.52381
1762,0.507937
1763,0.507937
1764,0.634921
1765,0.650794
1766,0.666667
1767,0.507937
1768,0.507937
1769,0.666667
1770,0.507937
1771,0.507937
1772,0.52381
1773,0.507937
1774,0.507937
1775,0.507937
1776,0.52381
1777,0.52381
1778,0.52381
1779,0.650794
1780,0.52381
1781,0.507937
1782,0.650794
1783,0.634921
1784,0.52381
1785,0.650794
1786,0.507937
1787,0.507937
1788,0.619048
1789,0.68254
1790,0.507937
1791,0.634921
1792,0.507937
1793,0.507937
1794,0.619048
1795,0.507937
1796,0.619048
1797,0.507937
1798,0.507937
1799,0.507937
1800,0.634921
1801,0.507937
1802,0.587302
1803,0.507937
1804,0.52381
1805,0.507937
1806,0.507937
1807,0.507937
1808,0.52381
1809,0.507937
1810,0.52381
1811,0.68254
1812,0.603175
1813,0.507937
1814,0.52381
1815,0.507937
1816,0.507937
1817,0.507937
1818,0.666667
1819,0.52381
1820,0.571429
1821,0.507937
1822,0.507937
1823,0.52381
1824,0.650794
1825,0.507937
1826,0.507937
1827,0.507937
1828,0.52381
1829,0.619048
1830,0.52381
1831,0.52381
1832,0.507937
1833,0.507937
1834,0.507937
1835,0.507937
1836,0.619048
1837,0.619048
1838,0.52381
1839,0.603175
1840,0.52381
1841,0.507937
1842,0.507937
1843,0.507937
1844,0.634921
1845,0.650794
1846,0.507937
1847,0.492063
1848,0.507937
1849,0.634921
1850,0.507937
1851,0.507937
1852,0.52381
1853,0.666667
1854,0.507937
1855,0.507937
1856,0.52381
1857,0.507937
1858,0.507937
1859,0.507937
1860,0.52381
1861,0.507937
1862,0.507937
1863,0.52381
1864,0.507937
1865,0.52381
1866,0.507937
1867,0.52381
